group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
write bench,kvs write,,,,8844642.0,ns,1
write bench,kvs write,,,,8388019.0,ns,1
write bench,kvs write,,,,9826538.0,ns,1
write bench,kvs write,,,,8785208.0,ns,1
write bench,kvs write,,,,9143643.0,ns,1
write bench,kvs write,,,,8381987.0,ns,1
write bench,kvs write,,,,8895689.0,ns,1
write bench,kvs write,,,,9033121.0,ns,1
write bench,kvs write,,,,8426973.0,ns,1
write bench,kvs write,,,,9040777.0,ns,1
write bench,kvs write,,,,9003355.0,ns,1
write bench,kvs write,,,,8535080.0,ns,1
write bench,kvs write,,,,8921719.0,ns,1
write bench,kvs write,,,,8644219.0,ns,1
write bench,kvs write,,,,9308779.0,ns,1
write bench,kvs write,,,,9003025.0,ns,1
write bench,kvs write,,,,9794437.0,ns,1
write bench,kvs write,,,,9867937.0,ns,1
write bench,kvs write,,,,10374004.0,ns,1
write bench,kvs write,,,,9212334.0,ns,1
write bench,kvs write,,,,9176947.0,ns,1
write bench,kvs write,,,,8997794.0,ns,1
write bench,kvs write,,,,7953598.0,ns,1
write bench,kvs write,,,,8691789.0,ns,1
write bench,kvs write,,,,9570859.0,ns,1
write bench,kvs write,,,,9992214.0,ns,1
write bench,kvs write,,,,9285383.0,ns,1
write bench,kvs write,,,,9102153.0,ns,1
write bench,kvs write,,,,8733118.0,ns,1
write bench,kvs write,,,,8207925.0,ns,1
write bench,kvs write,,,,11531686.0,ns,1
write bench,kvs write,,,,8393068.0,ns,1
write bench,kvs write,,,,8381396.0,ns,1
write bench,kvs write,,,,9363533.0,ns,1
write bench,kvs write,,,,10111052.0,ns,1
write bench,kvs write,,,,9968689.0,ns,1
write bench,kvs write,,,,9302086.0,ns,1
write bench,kvs write,,,,8815115.0,ns,1
write bench,kvs write,,,,9361088.0,ns,1
write bench,kvs write,,,,9402859.0,ns,1
write bench,kvs write,,,,8727518.0,ns,1
write bench,kvs write,,,,8417535.0,ns,1
write bench,kvs write,,,,10098107.0,ns,1
write bench,kvs write,,,,9795629.0,ns,1
write bench,kvs write,,,,9749550.0,ns,1
write bench,kvs write,,,,9053270.0,ns,1
write bench,kvs write,,,,8896260.0,ns,1
write bench,kvs write,,,,8611356.0,ns,1
write bench,kvs write,,,,9262831.0,ns,1
write bench,kvs write,,,,9949603.0,ns,1
write bench,kvs write,,,,9136389.0,ns,1
write bench,kvs write,,,,8788414.0,ns,1
write bench,kvs write,,,,9178650.0,ns,1
write bench,kvs write,,,,8047088.0,ns,1
write bench,kvs write,,,,10220611.0,ns,1
write bench,kvs write,,,,9498481.0,ns,1
write bench,kvs write,,,,8345988.0,ns,1
write bench,kvs write,,,,9346801.0,ns,1
write bench,kvs write,,,,8830975.0,ns,1
write bench,kvs write,,,,9161838.0,ns,1
write bench,kvs write,,,,9005359.0,ns,1
write bench,kvs write,,,,9365196.0,ns,1
write bench,kvs write,,,,9063971.0,ns,1
write bench,kvs write,,,,8415632.0,ns,1
write bench,kvs write,,,,8847977.0,ns,1
write bench,kvs write,,,,8794776.0,ns,1
write bench,kvs write,,,,9389783.0,ns,1
write bench,kvs write,,,,8856734.0,ns,1
write bench,kvs write,,,,8591138.0,ns,1
write bench,kvs write,,,,9762366.0,ns,1
write bench,kvs write,,,,10232023.0,ns,1
write bench,kvs write,,,,9668916.0,ns,1
write bench,kvs write,,,,9641500.0,ns,1
write bench,kvs write,,,,9075323.0,ns,1
write bench,kvs write,,,,9023614.0,ns,1
write bench,kvs write,,,,8484293.0,ns,1
write bench,kvs write,,,,8217032.0,ns,1
write bench,kvs write,,,,8736555.0,ns,1
write bench,kvs write,,,,9782494.0,ns,1
write bench,kvs write,,,,9458314.0,ns,1
write bench,kvs write,,,,8974499.0,ns,1
write bench,kvs write,,,,8857812.0,ns,1
write bench,kvs write,,,,9409641.0,ns,1
write bench,kvs write,,,,8322634.0,ns,1
write bench,kvs write,,,,9305482.0,ns,1
write bench,kvs write,,,,10537286.0,ns,1
write bench,kvs write,,,,9309490.0,ns,1
write bench,kvs write,,,,9898034.0,ns,1
write bench,kvs write,,,,9416424.0,ns,1
write bench,kvs write,,,,9787809.0,ns,1
write bench,kvs write,,,,8863347.0,ns,1
write bench,kvs write,,,,8538837.0,ns,1
write bench,kvs write,,,,9281546.0,ns,1
write bench,kvs write,,,,8684375.0,ns,1
write bench,kvs write,,,,9118024.0,ns,1
write bench,kvs write,,,,8621244.0,ns,1
write bench,kvs write,,,,11526661.0,ns,1
write bench,kvs write,,,,10027471.0,ns,1
write bench,kvs write,,,,9702921.0,ns,1
write bench,kvs write,,,,9109958.0,ns,1
